state,party,position,candidate_name,handle
Iowa,Republican,U.S. House,Mariannette Miller-Meeks,millermeeks
Iowa,Republican,U.S. House,Randy Feenstra,RandyFeenstra
Iowa,Republican,U.S. House,Steve King (Iowa),SteveKingIA
Iowa,Republican,U.S. House,Steve Reeder,stevereederiowa
Iowa,Republican,U.S. House,Steven Everly,EverlyForIowa
Iowa,Republican,U.S. House,Thomas Hansen (Iowa),Hansen4Congress
Iowa,Republican,U.S. House,Thomas Kedley,tjkedley
Iowa,Republican,U.S. House,Tim Borchardt,votetimforcong1
Iowa,Republican,U.S. House,Tim Borchardt,TimBorchardt
Kansas,Democratic,U.S. Senate,Barbara Bollier,BarbaraBollier
Kansas,Democratic,U.S. Senate,Barry Grissom,barrygrissomks
Kansas,Democratic,U.S. Senate,Nancy Boyda,BoydaNancy
Kansas,Democratic,U.S. Senate,Usha Reddi,reddiforsenate
Kansas,Republican,U.S. Senate,Bob Hamilton,hamiltonforks
Kansas,Republican,U.S. Senate,Brian Matlock,KansasBrian
Kansas,Republican,U.S. Senate,Bryan Pruitt,pruitt4kansas
Kansas,Republican,U.S. Senate,Bryan Pruitt,bryanpruitt
Kansas,Republican,U.S. Senate,Dave Lindstrom,LindstromforKS
Kansas,Republican,U.S. Senate,Jacob LaTurner,JakeLaTurner
Kansas,Republican,U.S. Senate,Kris Kobach,KrisKobach1787
Kansas,Republican,U.S. Senate,Roger Marshall,rogermarshallmd
Kansas,Republican,U.S. Senate,Susan Wagle,WagleforKansas
Kansas,Other parties,U.S. Senate,Jason Buckley (Kansas),JBuckley2020
Kansas,Democratic,U.S. House,James Windholz,HopeforWind
Kansas,Democratic,U.S. House,Kali Barnett,KaliforKansas
Kansas,Democratic,U.S. House,Laura Lombard,lauraforkansas
Kansas,Democratic,U.S. House,Michelle De La Isla,Michelle4Kansas
Kansas,Democratic,U.S. House,Michelle De La Isla,Dasharyl
Kansas,Democratic,U.S. House,Sharice Davids,RepDavids
Kansas,Democratic,U.S. House,Sharice Davids,ShariceDavids
Kansas,Republican,U.S. House,Adrienne Vallejo Foster,FosterforKansas
Kansas,Republican,U.S. House,Amanda Adkins,adkins_2020
Kansas,Republican,U.S. House,Amanda Adkins,amanda_adkins
Kansas,Republican,U.S. House,Bill Clifford,DrBillClifford1
Kansas,Republican,U.S. House,Michael Soetaert,SoetaertMichael
Kansas,Republican,U.S. House,Mike Beehler,electbeehler
Kansas,Republican,U.S. House,Ron Estes (U.S. House representative),RepRonEstes
Kansas,Republican,U.S. House,Ron Estes (U.S. House representative),RonEstesKS
Kansas,Republican,U.S. House,Sara Hart Weir,sarahartweir
Kansas,Republican,U.S. House,Tracey Mann,TraceyMannKS
Kansas,Republican,U.S. House,Troy L. Waymaster,troywaymaster
Kentucky,Democratic,U.S. Senate,Amy McGrath,amymcgrathky
Kentucky,Democratic,U.S. Senate,Bennie Smith,BennieJSmith1
Kentucky,Democratic,U.S. Senate,Charles Booker,Booker4KY
Kentucky,Democratic,U.S. Senate,Eric Rothmuller,EricRothmuller
Kentucky,Democratic,U.S. Senate,Jimmy Ausbrooks,jimmy4congress
Kentucky,Democratic,U.S. Senate,Maggie Jo Hilliard,electmojo
Kentucky,Democratic,U.S. Senate,Maggie Jo Hilliard,themaggiejo
Kentucky,Democratic,U.S. Senate,Mary Ann Tobin,TobinUsSenate
Kentucky,Democratic,U.S. Senate,Mike Broihier,mikeforky
Kentucky,Democratic,U.S. Senate,Steven Cox (Kentucky),stevencoxusa
Kentucky,Republican,U.S. Senate,C. Wesley Morgan,cwesleymorgan
Kentucky,Republican,U.S. Senate,Louis Grider,louis_grider
Kentucky,Republican,U.S. Senate,Mitch McConnell,senatemajldr
Kentucky,Republican,U.S. Senate,Mitch McConnell,Team_Mitch
Kentucky,Other parties,U.S. Senate,Brad Barron,barron_ky
Kentucky,Other parties,U.S. Senate,Derek Leonard Petteys,kysenator2020
Kentucky,Democratic,U.S. House,Alexandra Owensby,amowensby
Kentucky,Democratic,U.S. House,Daniel Kemph,kemph2020
Kentucky,Democratic,U.S. House,Hank Linderman,hank4ky
Kentucky,Democratic,U.S. House,James Rhodes (Kentucky),Rhodes4Congress
Kentucky,Democratic,U.S. House,John Yarmuth,RepJohnYarmuth
Kentucky,Democratic,U.S. House,Josh Hicks (Kentucky),joshhicksky
Kentucky,Democratic,U.S. House,Shannon Fabert,Fabert2020
Kentucky,Republican,U.S. House,Andy Barr,RepAndyBarr
Kentucky,Republican,U.S. House,Andy Barr,barrforcongress
Kentucky,Republican,U.S. House,Brett Guthrie,RepGuthrie
Kentucky,Republican,U.S. House,Brett Guthrie,brettguthrie
Kentucky,Republican,U.S. House,Chuck Eddy,chuckeddy
Kentucky,Republican,U.S. House,Gerardo Serrano,assetforfeiture
Kentucky,Republican,U.S. House,Hal Rogers,RepHalRogers
Kentucky,Republican,U.S. House,Hal Rogers,HalRogersKY5
Kentucky,Republican,U.S. House,James Comer Jr.,JamesComer
Kentucky,Republican,U.S. House,Kathleen Free,sugarb40
Kentucky,Republican,U.S. House,Mike Craven,MikeCravenKY
Kentucky,Republican,U.S. House,Thomas Massie,RepThomasMassie
Kentucky,Republican,U.S. House,Thomas Massie,massieforky
Kentucky,Republican,U.S. House,Todd McMurtry,toddmcmurtry
Kentucky,Republican,U.S. House,Waymen Eddings,waymen_e
Kentucky,Other parties,U.S. House,Robert Lee Perry (Kentucky),Perry4Ky
Louisiana,Democratic,U.S. Senate,Antoine Pierce,AntoinePierce
Louisiana,Democratic,U.S. Senate,Peter Wenstrup,Wenstrupforla
Louisiana,Republican,U.S. Senate,Bill Cassidy,SenBillCassidy
Louisiana,Republican,U.S. Senate,Bill Cassidy,billcassidy
Louisiana,Democratic,U.S. House,Candy Christophe,ChristopheCandy
Louisiana,Democratic,U.S. House,Rob Anderson,RobAnderson2018
Louisiana,Democratic,U.S. House,Ryan Trundle,ryantrundleCD4
Louisiana,Democratic,U.S. House,Verone Thomas,Verone4Congress
Louisiana,Republican,U.S. House,Clay Higgins,RepClayHiggins
Louisiana,Republican,U.S. House,Mike Johnson (Louisiana),RepMikeJohnson
Louisiana,Republican,U.S. House,Mike Johnson (Louisiana),MikeJohnson
Louisiana,Republican,U.S. House,Randall Scott Robinson (Louisiana),LouisianaScotty
Maine,Democratic,U.S. Senate,Betsy Sweet,BetsySweetME
Maine,Democratic,U.S. Senate,Betsy Sweet,BetsySweetMaine
Maine,Democratic,U.S. Senate,Bre Kidman,BeeKay4ME
Maine,Democratic,U.S. Senate,Ross LaJeunesse,rossformaine
Maine,Democratic,U.S. Senate,Sara Gideon,SaraGideon
Maine,Republican,U.S. Senate,Derek Levasseur,DerekME2020
Maine,Republican,U.S. Senate,Susan Collins (Maine),SenatorCollins
Maine,Republican,U.S. Senate,Susan Collins (Maine),SenSusanCollins
Maine,Independents,U.S. Senate,Danielle VanHelsing,Lady_VanHelsing
Maine,Independents,U.S. Senate,Lisa Savage,LisaforMaine
Maine,Independents,U.S. Senate,Lisa Savage,NaturalGuard
Maine,Independents,U.S. Senate,Tiffany Bond,TiffanyBond
Maine,Democratic,U.S. House,Chellie Pingree,chelliepingree
Maine,Democratic,U.S. House,Jared Golden,RepGolden
Maine,Democratic,U.S. House,Jared Golden,golden4congress
Maine,Republican,U.S. House,Adrienne Bennett,AdrienneMaine
Maine,Republican,U.S. House,Dale Crafts,DaleCraftsME
Maine,Republican,U.S. House,Eric Brakey,SenatorBrakey
Maine,Republican,U.S. House,Jay Allen,AllenCongress
Maine,Republican,U.S. House,John Hiatt,TreasurerHiatt
Maryland,Democratic,U.S. House,Adrian Petrus,petrusadrian
Maryland,Democratic,U.S. House,Allison Galbraith,AllisonforMD
Maryland,Democratic,U.S. House,Anthony Brown (Maryland),RepAnthonyBrown
Maryland,Democratic,U.S. House,Anthony Brown (Maryland),AnthonyBrownMD4
Maryland,Democratic,U.S. House,Briana Urbina,Urbinaforus
Maryland,Democratic,U.S. House,Dan Hiegel,HiegelDan
Maryland,Democratic,U.S. House,David Trone,repdavidtrone
Maryland,Democratic,U.S. House,David Trone,davidjtrone
Maryland,Democratic,U.S. House,Dutch Ruppersberger,Call_Me_Dutch
Maryland,Democratic,U.S. House,Dutch Ruppersberger,GoDutchForMD
Maryland,Democratic,U.S. House,F. Michael Higginbotham,professorhigg
Maryland,Democratic,U.S. House,Harry Spikes,HarryTSpikes
Maryland,Democratic,U.S. House,Jake Pretot,jake_pretot
Maryland,Democratic,U.S. House,Jamie Raskin,repraskin
Maryland,Democratic,U.S. House,Jamie Raskin,jamie_raskin
Maryland,Democratic,U.S. House,Jill Carter,jillpcarter
Maryland,Democratic,U.S. House,John Sarbanes,RepSarbanes
Maryland,Democratic,U.S. House,John Sarbanes,JohnSarbanes
Maryland,Democratic,U.S. House,Joseph Ardito,joeardito2020
Maryland,Democratic,U.S. House,Kweisi Mfume,Mfume4Congress
Maryland,Democratic,U.S. House,Lih Young,DR_LIH_YOUNG
Maryland,Democratic,U.S. House,Mark Gosnell,drMgosnell
Maryland,Democratic,U.S. House,Maxwell Bero,beroforcongress
Maryland,Democratic,U.S. House,Maya Rockeymoore Cummings,MayaForCongress
Maryland,Democratic,U.S. House,Mckayla Wilkes,MeetMckayla
Maryland,Democratic,U.S. House,Mia Mason,Mia4MD
Maryland,Democratic,U.S. House,Michael Howard Jr.,MHJForCongress
Maryland,Democratic,U.S. House,Saafir Rabb,Saafir4Congress
Maryland,Democratic,U.S. House,Shelia Bryant,SheliaForMD4
Maryland,Democratic,U.S. House,Steny Hoyer,LeaderHoyer
Maryland,Democratic,U.S. House,Steny Hoyer,StenyHoyer
Maryland,Democratic,U.S. House,T. Dan Baker,votetdanbaker
Maryland,Democratic,U.S. House,Talmadge Branch,whiptbranch
Maryland,Democratic,U.S. House,Terri Hill,VoteTerriHill
Maryland,Democratic,U.S. House,Utam Paul,utam_paul
Maryland,Democratic,U.S. House,Vanessa Marie Hoffman,vanessa23607546
Maryland,Democratic,U.S. House,William Devine III,studlydevine
Maryland,Democratic,U.S. House,William Devine III,studlydevine
Maryland,Republican,U.S. House,Andrew Harris,RepAndyHarrisMD
Maryland,Republican,U.S. House,Andrew Harris,Harris4Congress
Maryland,Republican,U.S. House,Bridgette Cooper,bcoopercongress
Maryland,Republican,U.S. House,Chris Meyyur,ChrisMeyyur
Maryland,Republican,U.S. House,Chris Palombi,chrispalombi
Maryland,Republican,U.S. House,Christopher Anderson,CAnderson2020
Maryland,Republican,U.S. House,Douglas Sayers (Maryland),dougsayers2
Maryland,Republican,U.S. House,Elizabeth Matory,LizForCongress
Maryland,Republican,U.S. House,Elizabeth Matory,LizMatory
Maryland,Republican,U.S. House,Genevieve Morris,morris_congress
Maryland,Republican,U.S. House,Genevieve Morris,HITpolicywonk
Maryland,Republican,U.S. House,Jim Simpson,JamesMSimpson
Maryland,Republican,U.S. House,Johnny Ray Salling,SenJohnnyRay
Maryland,Republican,U.S. House,Jorge Delgado (Maryland),VoteDelgado
Maryland,Republican,U.S. House,Kenneth Lee (Maryland),voteforkenny
Maryland,Republican,U.S. House,Kevin Caldwell,Caldwell4MD6CD
Maryland,Republican,U.S. House,Kim Klacik,kimKBaltimore
Maryland,Republican,U.S. House,Lee Havis,patriotvoting
Maryland,Republican,U.S. House,Michael Yadeta,MichaelYadeta
Maryland,Republican,U.S. House,Neil Parrott,neilparrott
Maryland,Republican,U.S. House,Nicholas Gladden,MarylandNickG
Maryland,Republican,U.S. House,Nnabu Eze,eze4senate
Maryland,Republican,U.S. House,Reba Hawkins,rebahawkins2020
Maryland,Republican,U.S. House,Rob Seyfferth,RobertSeyfferth
Maryland,Republican,U.S. House,Tim Fazenbaker,america1timfaze
Maryland,Republican,U.S. House,William Newton,NEWTONCONGRESS
Maryland,Republican,U.S. House,Winnie Heartstrong,realDrWinnie
Maryland,Other parties,U.S. House,Rashad Dwayne Lloyd,AnbuJr010
Maryland,Independents,U.S. House,Amber Ivey,Ivey2020
Massachusetts,Democratic,U.S. Senate,Edward Markey,SenMarkey
Massachusetts,Democratic,U.S. Senate,Edward Markey,EdMarkey
Massachusetts,Democratic,U.S. Senate,Joseph Kennedy III,joekennedy
Massachusetts,Democratic,U.S. Senate,Shannon Liss-Riordan,shannonforma
Massachusetts,Democratic,U.S. Senate,Steve Pemberton,pembertonforma
Massachusetts,Republican,U.S. Senate,Allen Waters,watersforsenate
Massachusetts,Republican,U.S. Senate,Allen Waters,AllenRWaters
Massachusetts,Republican,U.S. Senate,Kevin O'Connor (Massachusetts),KOCforSenate
Massachusetts,Republican,U.S. Senate,Shiva Ayyadurai,va_shiva
Massachusetts,Democratic,U.S. House,Alan Khazei,alankhazei
Massachusetts,Democratic,U.S. House,Alex Morse,alexbmorse
Massachusetts,Democratic,U.S. House,Angus McQuilken,Angus4Congress
Massachusetts,Democratic,U.S. House,Ayanna Pressley,RepPressley
Massachusetts,Democratic,U.S. House,Ayanna Pressley,AyannaPressley
Massachusetts,Democratic,U.S. House,Becky Grossman,BeckyWGrossman
Massachusetts,Democratic,U.S. House,Ben Sigel,bensigel
Massachusetts,Democratic,U.S. House,Bill Keating,USRepKeating
Massachusetts,Democratic,U.S. House,Bill Keating,WilliamKeating
Massachusetts,Democratic,U.S. House,Brianna Wu,BriannaWu
Massachusetts,Democratic,U.S. House,Brianna Wu,Bri_Wu
Massachusetts,Democratic,U.S. House,Chris Zannetos,ChrisZforMA
Massachusetts,Democratic,U.S. House,Dave Cavell,DavidFCavell
Massachusetts,Democratic,U.S. House,Ihssane Leckey,ihssaneleckey
Massachusetts,Democratic,U.S. House,Jake Auchincloss,JakeAuch
Massachusetts,Democratic,U.S. House,Jamie Zahlaway Belsito,JZBMA06
Massachusetts,Democratic,U.S. House,Jamie Zahlaway Belsito,JamieZahlaway
Massachusetts,Democratic,U.S. House,Jesse Mermell,jessemermell
Massachusetts,Democratic,U.S. House,Jim McGovern (Massachusetts),RepMcGovern
Massachusetts,Democratic,U.S. House,Jim McGovern (Massachusetts),McGovernMA
Massachusetts,Democratic,U.S. House,Katherine Clark,RepKClark
Massachusetts,Democratic,U.S. House,Katherine Clark,KatherineClark
Massachusetts,Democratic,U.S. House,Lisa Peterson,LPeterson2020
Massachusetts,Democratic,U.S. House,Lori Trahan,RepLoriTrahan
Massachusetts,Democratic,U.S. House,Lori Trahan,LoriUSCongress
Massachusetts,Democratic,U.S. House,Lori Trahan,latrahan
Massachusetts,Democratic,U.S. House,Natalia Linos,natalialinou
Massachusetts,Democratic,U.S. House,Nathaniel Mulcahy,aVoice4MA6
Massachusetts,Democratic,U.S. House,Nick Matthew,nickjmatthew
Massachusetts,Democratic,U.S. House,Raffaele Santino Depalma,iAmRdEp
Massachusetts,Democratic,U.S. House,Richard Neal,RepRichardNeal
Massachusetts,Democratic,U.S. House,Richard Neal,NealForCongress
Massachusetts,Democratic,U.S. House,Robbie Goldstein,RobbieForChange
Massachusetts,Democratic,U.S. House,Seth Moulton,TeamMoulton
Massachusetts,Democratic,U.S. House,Seth Moulton,sethmoulton
Massachusetts,Democratic,U.S. House,Stephen Lynch,RepStephenLynch
Massachusetts,Democratic,U.S. House,Stephen Lynch,RepLynch
Massachusetts,Republican,U.S. House,Caroline Colarusso,CarolineforCon1
Massachusetts,Republican,U.S. House,Helen Brady,HelenBradyMA9
Massachusetts,Republican,U.S. House,John Paul Moran,JohnPaul4Mass
Massachusetts,Republican,U.S. House,Julie Hall (Massachusetts),Hall4CongressMA
Massachusetts,Republican,U.S. House,Tracy Lovvorn,Tracy4Congress
Massachusetts,Independents,U.S. House,Matthew Mixon,Mixon4Congress
Michigan,Democratic,U.S. Senate,Gary Peters,SenGaryPeters
Michigan,Democratic,U.S. Senate,Gary Peters,GaryPeters
Michigan,Republican,U.S. Senate,Bob Carr,BobCarrUSSenate
Michigan,Republican,U.S. Senate,John James (Michigan),JohnJamesMI
Michigan,Other parties,U.S. Senate,Valerie Willis,willis_for
Michigan,Democratic,U.S. House,Aida Gray,GrayForMI06
Michigan,Democratic,U.S. House,Amanda Le'Anne Brunzell,brunzealous
Michigan,Democratic,U.S. House,Andy Levin,repandylevin
Michigan,Democratic,U.S. House,Andy Levin,Andy_Levin
Michigan,Democratic,U.S. House,Anthony Carbonaro,AMCarbonaro
Michigan,Democratic,U.S. House,Anthony Feig,AnthonyFeig
Michigan,Democratic,U.S. House,Brenda Jones (Michigan),VoteBrendaJones
Michigan,Democratic,U.S. House,Brenda Lawrence (Michigan),RepLawrence
Michigan,Democratic,U.S. House,Brenda Lawrence (Michigan),BrendaLLawrence
Michigan,Democratic,U.S. House,Bryan Berghoef,pubtheologian
Michigan,Democratic,U.S. House,C.B. Smith,CBforCongress
Michigan,Democratic,U.S. House,Cathy Albro,cathyalbro
Michigan,Democratic,U.S. House,Dan Kildee,RepDanKildee
Michigan,Democratic,U.S. House,Dan Kildee,dankildee
Michigan,Democratic,U.S. House,Dana Alan Ferguson,fergusonforMI1
Michigan,Democratic,U.S. House,Debbie Dingell,RepDebDingell
Michigan,Democratic,U.S. House,Debbie Dingell,debdingell
Michigan,Democratic,U.S. House,Doug Booth,DouglasJBooth
Michigan,Democratic,U.S. House,Elissa Slotkin,RepSlotkin
Michigan,Democratic,U.S. House,Elissa Slotkin,ElissaSlotkin
Michigan,Democratic,U.S. House,Gretchen Driskell,gdriskell
Michigan,Democratic,U.S. House,Haley Stevens,RepHaleyStevens
Michigan,Democratic,U.S. House,Haley Stevens,haleylive
Michigan,Democratic,U.S. House,Hillary Scholten,hillaryscholten
Michigan,Democratic,U.S. House,Jen Richardson,jensnotrich2020
Michigan,Democratic,U.S. House,Jerry Hilliard,HilliardForCong
Michigan,Democratic,U.S. House,Jon Hoadley,jonhoadley
Michigan,Democratic,U.S. House,Kelly Noland,kelnoland2020
Michigan,Democratic,U.S. House,Kimberly Bizon,electbizon2020
Michigan,Democratic,U.S. House,Linda O'Dell,lindaforMI
Michigan,Democratic,U.S. House,Matthew Clauss,mclauss2020
Michigan,Democratic,U.S. House,Nick Colvin (Michigan),ColvinForMI
Michigan,Democratic,U.S. House,Rashida Tlaib,RepRashida
Michigan,Democratic,U.S. House,Rashida Tlaib,RashidaTlaib
Michigan,Democratic,U.S. House,Senan Saleh,voteforsenan
Michigan,Democratic,U.S. House,Solomon Rajput,VoteForSolomon
Michigan,Republican,U.S. House,Alan Hoover,hoover_8
Michigan,Republican,U.S. House,Alfred Lemmo,lemmotocongress
Michigan,Republican,U.S. House,Bill Huizenga,RepHuizenga
Michigan,Republican,U.S. House,Bill Huizenga,billhuizenga
Michigan,Republican,U.S. House,Bisham Singh,DrBishamSingh
Michigan,Republican,U.S. House,Brandon Mikula,Mikula2020
Michigan,Republican,U.S. House,Charles Langworthy,LangworthyUS9th
Michigan,Republican,U.S. House,Christina Fitchett-Hickson,EllenCFitch4
Michigan,Republican,U.S. House,Daryle Houston,dfhforcongress
Michigan,Republican,U.S. House,David Dudenhoefer,dude4Liberty
Michigan,Republican,U.S. House,Doug Slocum,GenDougSlocum
Michigan,Republican,U.S. House,Earl Lackie,for_earl
Michigan,Republican,U.S. House,Elena Oelke,OelkeElena
Michigan,Republican,U.S. House,Emily Rafi,EmilyRafiMI03
Michigan,Republican,U.S. House,Eric Esshaki,EsshakiCongress
Michigan,Republican,U.S. House,Frank Acosta,FrankAcosta2020
Michigan,Republican,U.S. House,Fred Upton,RepFredUpton
Michigan,Republican,U.S. House,Fred Upton,uptonforallofus
Michigan,Republican,U.S. House,Gabi Grossbard,Votegabi
Michigan,Republican,U.S. House,Jack Bergman,RepJackBergman
Michigan,Republican,U.S. House,Jack Bergman,JackBergman_MI1
Michigan,Republican,U.S. House,James Lower,RepJimLower
Michigan,Republican,U.S. House,Joe Farrington,workingclassGOP
Michigan,Republican,U.S. House,Joel Langlois,JoelMCGA
Michigan,Republican,U.S. House,John Moolenaar,RepMoolenaar
Michigan,Republican,U.S. House,John Moolenaar,JohnMoolenaar
Michigan,Republican,U.S. House,Kerry Bentivolio,KerryB4Congress
Michigan,Republican,U.S. House,Kristina Lyke,KristinaLyke
Michigan,Republican,U.S. House,Linda Sawyer,Linda13th
Michigan,Republican,U.S. House,Lisa McClain,LisaForCongress
Michigan,Republican,U.S. House,Lynn Afendoulis,LynnAfendoulis
Michigan,Republican,U.S. House,Mike Detmer,DetmerMike
Michigan,Republican,U.S. House,Nikki Snyder,CongressNikki
Michigan,Republican,U.S. House,Paul Junge,VotePaulJunge
Michigan,Republican,U.S. House,Peter Meijer,votemeijer
Michigan,Republican,U.S. House,Peter Meijer,pjfm
Michigan,Republican,U.S. House,Richard Piwko,piwko_s
Michigan,Republican,U.S. House,Rick Olson (Minnesota),RickOlsonMN
Michigan,Republican,U.S. House,Shane Hernandez,ShaneforMI
Michigan,Republican,U.S. House,Tim Kelly (Michigan state representative),timothykelly
Michigan,Republican,U.S. House,Tim Walberg,RepWalberg
Michigan,Republican,U.S. House,Tim Walberg,TimWalberg
Michigan,Republican,U.S. House,Tom Norton,ForNorton
Michigan,Republican,U.S. House,Whittney Williams,Whittney2020
Michigan,Other parties,U.S. House,Jean-Michel Creviere,CreviereJean
Michigan,Other parties,U.S. House,Justin Amash,teamamash
Michigan,Other parties,U.S. House,Justin Amash,justinamash
Minnesota,Democratic,U.S. Senate,Paula Overby,Paula_Overby
Minnesota,Democratic,U.S. Senate,Steve Carlson,CampaignCarlson
Minnesota,Democratic,U.S. Senate,Steve Carlson,stevewcarlson
Minnesota,Democratic,U.S. Senate,Tina Smith,SenTinaSmith
Minnesota,Democratic,U.S. Senate,Tina Smith,TinaSmithMN
Minnesota,Republican,U.S. Senate,Jason Lewis (Minnesota),LewisForMN
Minnesota,Republican,U.S. Senate,Rob Barrett Jr.,robsenate
Minnesota,Democratic,U.S. House,Alberder Gillespie,AlberderG
Minnesota,Democratic,U.S. House,Angie Craig,RepAngieCraig
Minnesota,Democratic,U.S. House,Angie Craig,AngieCraigMN
Minnesota,Democratic,U.S. House,Antone Melton-Meaux,Antone_MN
Minnesota,Democratic,U.S. House,Betty McCollum,BettyMcCollum04
Minnesota,Democratic,U.S. House,Betty McCollum,VoteBetty
Minnesota,Democratic,U.S. House,Cole Young,youngvoterswork
Minnesota,Democratic,U.S. House,Collin Peterson,collincpeterson
Minnesota,Democratic,U.S. House,Dan Feehan,danielfeehan
Minnesota,Democratic,U.S. House,David Sandbeck,DavidSandbeck
Minnesota,Democratic,U.S. House,Dean Phillips,RepDeanPhillips
Minnesota,Democratic,U.S. House,Dean Phillips,deanbphillips
Minnesota,Democratic,U.S. House,Haji Yussuf,hajiforhouse
Minnesota,Democratic,U.S. House,Ian Todd,IanToddforMN
Minnesota,Democratic,U.S. House,Ilhan Omar,Ilhan
Minnesota,Democratic,U.S. House,Ilhan Omar,IlhanMN
Minnesota,Democratic,U.S. House,John Mason (Minnesota),JohnMasonMN
Minnesota,Democratic,U.S. House,Johnny Akzam,JohnnyAkzam
Minnesota,Democratic,U.S. House,Leila Shukri Adan,Leilaformncd5
Minnesota,Democratic,U.S. House,Les Lester,leslester
Minnesota,Democratic,U.S. House,Marjorie Holmstrom-Sabo,marje2020
Minnesota,Democratic,U.S. House,Quinn Nystrom,QuinnNystrom
Minnesota,Democratic,U.S. House,Ralph Kaehler,KaehlerMNSenate
Minnesota,Democratic,U.S. House,Reid Rossell,ReidfromMn
Minnesota,Democratic,U.S. House,Tawnja Zahradka,Tawnja4Congress
Minnesota,Republican,U.S. House,Alley Waterbury,WaterburyAlley
Minnesota,Republican,U.S. House,Brent Whaley,BrentWhaleyMN
Minnesota,Republican,U.S. House,Dalia al-Aqidi,Dalia4Congress
Minnesota,Republican,U.S. House,Dave Hughes,DHughesCongress
Minnesota,Republican,U.S. House,Erika Cashin,CashinforMN
Minnesota,Republican,U.S. House,Jayesun Sherman,js4uscongress
Minnesota,Republican,U.S. House,Jim Hagedorn,RepHagedorn
Minnesota,Republican,U.S. House,Jim Hagedorn,JimHagedornMN
Minnesota,Republican,U.S. House,Kendall Qualls,KendallQuallsMN
Minnesota,Republican,U.S. House,Kerry Zeiler,zeilerkerry
Minnesota,Republican,U.S. House,Lacy Johnson (Minnesota),LacyJohnsonMN
Minnesota,Republican,U.S. House,Laverne Turner,CongressTurner
Minnesota,Republican,U.S. House,Michelle Fischbach,FischbachMN7
Minnesota,Republican,U.S. House,Noel Collis,collisdr
Minnesota,Republican,U.S. House,Pete Stauber,RepPeteStauber
Minnesota,Republican,U.S. House,Pete Stauber,PeteStauber
Minnesota,Republican,U.S. House,Tom Emmer,RepTomEmmer
Minnesota,Republican,U.S. House,Tom Emmer,tomemmer
Minnesota,Republican,U.S. House,Travis Ekbom,TravisEkbom
Minnesota,Republican,U.S. House,Tyler Kistner,kistnercongress
Minnesota,Other parties,U.S. House,Adam Weeks (Minnesota),weeks2020
Minnesota,Other parties,U.S. House,Toya Woodland,ministertoya45
Minnesota,Independents,U.S. House,Gary Heyer,garyeheyer
Mississippi,Democratic,U.S. Senate,Jensen Bohren,BohrenJensen
Mississippi,Democratic,U.S. Senate,Mike Espy,MikeEspyMS
Mississippi,Democratic,U.S. Senate,Tobey Bartee,tobeybbartee
Mississippi,Republican,U.S. Senate,Cindy Hyde-Smith,SenHydeSmith
Mississippi,Republican,U.S. Senate,Cindy Hyde-Smith,cindyhydesmith
Mississippi,Democratic,U.S. House,Antonia Eliason,Antonia4MS1
Mississippi,Democratic,U.S. House,Antonia Eliason,AntoniaEliason
Mississippi,Democratic,U.S. House,Bennie Thompson,BennieGThompson
Mississippi,Democratic,U.S. House,Katelyn Lee,leecommakatelyn
Mississippi,Democratic,U.S. House,Sonia Rathburn,RathburnSonia
Mississippi,Republican,U.S. House,Carl Boyanton,Carl4congressms
Mississippi,Republican,U.S. House,James Tulp,jamestulp
Mississippi,Republican,U.S. House,Michael Guest,RepMichaelGuest
Mississippi,Republican,U.S. House,Michael Guest,GuestCongress
Mississippi,Republican,U.S. House,Robert Deming III,rldeming3
Mississippi,Republican,U.S. House,Samuel Hickman,ForHickman
Mississippi,Republican,U.S. House,Samuel Hickman,hickman_samuel
Mississippi,Republican,U.S. House,Steven Palazzo,CongPalazzo
Mississippi,Republican,U.S. House,Steven Palazzo,StevenPalazzo
Mississippi,Republican,U.S. House,Trent Kelly,reptrentkelly
Missouri,Democratic,U.S. House,Cori Bush,CoriBush
Missouri,Democratic,U.S. House,Dennis Oglesby,ForOglesby
Missouri,Democratic,U.S. House,Dennis Oglesby,DennisOglesby
Missouri,Democratic,U.S. House,Emanuel Cleaver,repcleaver
Missouri,Democratic,U.S. House,Emanuel Cleaver,Vote4Cleaver
Missouri,Democratic,U.S. House,Erich Arvidson,ericharvidson
Missouri,Democratic,U.S. House,Gena Ross,drgenalross
Missouri,Democratic,U.S. House,Henry Martin,hmforcongress
Missouri,Democratic,U.S. House,Jill Schupp,JillSchupp
Missouri,Democratic,U.S. House,Kathy Ellis,ellis4congress
Missouri,Democratic,U.S. House,Katy Geppert,KatyforCongress
Missouri,Democratic,U.S. House,Lindsey Simmons,lynzforcongress
Missouri,Democratic,U.S. House,Lindsey Simmons,lynzsimmons
Missouri,Democratic,U.S. House,Maite Salazar,MaiteSalazar4MO
Missouri,Democratic,U.S. House,Ryan Gonzalez,Ryan_4Congress
Missouri,Democratic,U.S. House,Teresa Montseny,montsenyt
Missouri,Democratic,U.S. House,Victor Abundis,SlickVic5446
Missouri,Democratic,U.S. House,William Lacy Clay,LacyClayMO1
Missouri,Republican,U.S. House,Adela Wisdom,AdelaWisdom
Missouri,Republican,U.S. House,Ann Wagner,RepAnnWagner
Missouri,Republican,U.S. House,Ann Wagner,AnnLWagner
Missouri,Republican,U.S. House,Anthony Rogers,MrAnthonyRogers
Missouri,Republican,U.S. House,Billy Long,USRepLong
